record,age,sex,grade,race4,qn16,qn17,qn19,qn20,qn21,qn24,qn25,qn27,qn28,qn29,qn30,qn33,qn37,qn43,qn45,qn47,qn50,qn51,qn52,qn53,qn54,qn55,qn56,qn57
1115977,4,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115978,4,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115979,4,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2
1115980,4,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1115981,4,2,1,3,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2
1115982,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115983,4,2,2,3,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA
1115984,4,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1115985,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2
1115986,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1115987,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115988,4,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2
1115989,4,2,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2
1115990,4,2,1,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1115991,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
1115992,4,2,2,3,1,1,1,1,2,NA,1,1,2,NA,NA,1,1,NA,NA,1,2,NA,1,1,1,1,1,NA
